uid,timestamp,prior_context(sec),prior_context_speech_rate,dixit(sec),dixit_speech_rate,whole_conv_length(sec)
13,1684931496838,6.723,1.19,108.676,0.23,290.728
4,1684931535692,6.274,2.072,16.532,1.573,59.676
16,1684932203715,8.852,1.356,21.545,1.207,240.717
15,1684932736051,6.567,0.914,26.189,1.107,102.52
11,1684932756971,6.196,0.323,20.909,1.626,82.851
19,1684932960198,6.305,0.317,24.834,0.443,71.686
19,1684935658972,9.077,0.331,20.772,0.77,70.275
3,1684935863510,6.388,1.252,23.461,0.597,105.2
13,1684936537332,5.964,0.503,18.137,1.213,78.796
4,1684936576369,7.249,2.897,9.362,2.35,52.911
11,1684937471536,5.979,0.836,70.464,0.369,110.298
15,1684937776772,6.824,1.319,46.832,0.641,174.809
11,1684938364832,6.365,0.786,21.63,1.433,66.376
3,1684938514575,7.575,1.188,32.097,0.28,92.147
11,1684940671922,6.643,0.753,20.452,1.027,63.454
4,1684941617995,6.406,1.717,18.282,2.461,59.138
15,1684942817118,6.574,1.369,18.185,0.55,141.552
12,1684943005110,7.776,1.029,73.424,0.286,155.464
11,1684943405790,6.21,0.483,54.795,0.328,109.958
3,1684946249285,6.641,1.355,16.557,0.604,77.83
4,1684946658645,6.116,1.472,17.145,2.216,62.629
10,1684946680541,6.096,0.492,32.376,0.741,130.437
15,1684947857641,6.879,0.727,27.567,1.052,90.175
12,1684953086136,8.309,0.722,36.297,0.165,171.82
12,1684963168294,7.723,0.777,20.359,0.639,161.766
2,1684977605549,6.676,0.3,32.065,0.717,102.012
2,1684982646090,6.652,0.301,16.894,0.77,68.783
5,1684989458485,8.024,0.748,17.48,1.43,93.895
20,1684989733557,6.796,0.589,30.239,0.496,139.054
20,1684994786721,8.69,0.921,38.007,0.368,112.127
20,1684999971880,6.234,1.444,29.498,1.797,84.799
4,1685002760803,6.304,1.586,15.829,1.264,59.687
17,1685005669622,6.6,0.455,38.326,0.496,91.168
11,1685006346158,6.28,0.318,18.665,1.393,70.897
19,1685007100219,6.137,0.326,23.116,0.433,162.53
4,1685007801279,6.507,2.305,25.672,0.623,67.458
17,1685008581212,7.844,0.382,52.71,0.474,107.867
19,1685009788728,5.996,0.334,23.701,0.549,173.199
11,1685011386425,6.356,0.315,54.997,0.618,98.91
4,1685012842039,6.777,2.213,46.458,0.624,92.092
9,1685012917096,8.012,2.621,18.691,1.338,67.352
11,1685016427101,6.335,0.474,60.039,0.916,117.567
15,1685016512932,7.026,0.569,21.643,0.693,127.184
4,1685017882776,6.14,1.466,26.548,0.603,68.902
10,1685017902030,6.507,1.383,25.742,0.622,92.543
9,1685017948194,7.737,1.809,16.462,0.729,67.74
19,1685018862283,6.252,0.32,45.856,0.196,107.109
11,1685019321835,6.361,0.472,17.339,1.5,74.913
15,1685021479401,7.75,1.161,19.453,1.439,96.821
1,1685021548517,7.126,1.123,21.98,0.682,67.978
11,1685022871795,6.349,0.473,56.219,0.534,101.924
4,1685022922855,6.367,2.356,71.575,0.126,113.188
13,1685022933437,5.915,0.338,18.592,2.098,72.356
10,1685022994771,6.066,1.484,20.625,2.376,68.05
9,1685023040310,9.21,1.737,26.959,0.556,162.269
11,1685025527443,6.43,0.467,52.441,0.572,101.875
15,1685026519977,6.944,1.296,17.439,1.376,224.724
1,1685026590032,7.432,0.807,20.588,0.437,101.368
4,1685027963376,6.24,1.282,40.874,0.685,88.755
13,1685027974694,6.786,0.884,35.628,0.477,233.067
10,1685028035800,6.428,1.245,28.987,0.828,73.072
9,1685028080639,6.828,1.465,15.975,0.939,68.675
11,1685028207959,6.666,0.45,18.217,1.153,66.096
8,1685029433686,8.172,1.468,19.786,2.022,70.342
3,1685030592238,6.23,1.284,31.53,0.412,100.088
11,1685031036847,6.284,0.477,160.457,0.1,277.25
17,1685031505117,7.886,0.761,17.6,1.477,85.896
15,1685031560537,10.12,0.889,18.917,0.793,259.319
4,1685033004574,6.811,1.468,17.941,2.007,71.162
11,1685033683654,6.612,0.454,17.909,1.005,99.197
8,1685034473833,8.867,0.451,26.602,1.053,100.289
17,1685036545640,5.994,0.501,25.907,0.695,68.829
15,1685036732070,6.608,1.362,27.157,0.81,114.905
8,1685039514234,7.25,0.552,38.632,0.129,104.228
20,1685079077298,6.301,0.794,27.602,3.587,183.347
4,1685089166095,6.261,1.597,15.78,1.204,62.466
2,1685092176988,7.147,0.28,48.345,0.393,105.217
4,1685094207057,15.235,0.131,18.348,1.853,79.952
9,1685099243008,24.051,0.873,20.584,0.486,99.778
13,1685099352484,6.333,0.474,16.865,0.83,73.844
4,1685099411642,6.184,1.455,17.259,1.796,58.047
19,1685100030552,5.865,0.341,9.616,1.248,90.354
11,1685100521294,6.059,0.33,18.256,1.096,80.356
15,1685100548601,7.743,1.033,27.312,0.915,164.48
11,1685102605705,6.475,0.463,16.444,1.277,60.686
11,1685103144875,6.022,0.498,305.517,0.043,358.807
19,1685103406599,16.714,0.12,32.619,0.46,84.716
9,1685104284078,7.143,1.4,32.7,0.306,80.904
4,1685104289476,6.342,2.365,14.832,1.214,70.408
12,1685104826931,10.054,0.995,30.629,0.522,95.588
15,1685105641685,8.432,2.016,45.636,0.373,170.913
11,1685106107965,7.325,1.229,22.339,0.716,77.995
7,1685107924086,7.697,2.209,21.882,2.742,76.056
1,1685107945369,30.255,0.165,23.479,0.17,97.877
11,1685108753887,6.716,0.893,104.291,0.201,154.374
9,1685109322990,7.054,1.418,23.995,0.5,75.422
4,1685109330442,6.137,1.467,15.958,1.253,69.509
10,1685109389263,6.366,1.414,17.69,1.187,84.048
12,1685109867666,7.655,1.176,29.914,2.139,91.501
17,1685110581792,6.772,0.886,38.95,0.462,105.334
8,1685110787989,7.046,0.426,20.71,0.724,90.484
11,1685110932309,5.949,0.504,34.374,0.407,80.783
11,1685111148439,6.405,0.468,27.022,0.888,76.094
7,1685112965374,7.371,1.221,33.828,0.384,84.289
1,1685113037787,8.889,0.675,20.943,1.003,71.654
11,1685114225487,5.84,0.342,16.312,0.981,58.455
10,1685114482348,6.371,1.413,28.078,0.499,78.229
18,1685115549233,7.699,1.689,8.585,1.165,69.161
8,1685115932412,6.996,0.286,18.787,2.076,59.919
7,1685118006153,8.324,0.721,36.59,1.011,227.16
10,1685119523313,6.034,1.492,18.511,2.107,73.842
15,1685120815348,8.964,1.004,17.824,1.571,130.752
18,1685125629794,8.496,1.412,16.194,1.112,236.346
8,1685126065300,6.808,1.175,21.813,1.238,98.982
18,1685130670270,8.963,0.669,13.449,0.669,120.322
4,1685146772875,6.586,1.67,32.223,0.683,79.873
9,1685148204412,6.987,1.431,16.769,1.133,63.618
1,1685151768134,7.415,0.809,24.52,0.122,65.62
4,1685151864683,6.491,2.157,36.965,0.054,88.449
9,1685153297330,9.7,2.371,48.102,0.312,109.483
11,1685154409480,6.344,0.631,82.61,0.194,134.516
1,1685156808750,7.472,0.669,22.513,0.933,70.507
4,1685156905716,6.48,2.006,25.869,0.425,69.074
11,1685157334243,6.669,0.45,24.918,0.763,157.679
11,1685157892035,6.612,0.454,22.934,0.785,94.652
11,1685161065156,6.184,0.97,26.645,0.6,69.536
1,1685161900346,6.492,0.77,22.196,0.18,67.386
4,1685161946511,6.691,1.943,73.157,0.027,148.45
5,1685162674530,8.524,0.939,15.986,0.751,77.286
19,1685163147187,5.831,0.514,21.491,0.791,143.871
11,1685163811821,6.181,0.971,30.48,0.623,67.855
3,1685165290166,6.441,1.242,17.611,0.625,72.034
2,1685166219776,10.719,0.466,19.451,0.72,76.087
11,1685166617688,6.54,0.306,25.752,0.66,72.787
4,1685166987314,6.335,2.052,34.229,0.467,76.433
1,1685166993025,6.689,0.747,21.589,0.834,68.276
11,1685168852150,7.223,0.415,15.828,1.011,62.911
2,1685168914525,6.762,0.296,56.576,0.159,180.507
3,1685170330378,6.712,1.192,45.228,0.221,179.554
4,1685172028227,6.171,2.107,17.668,1.698,60.138
20,1685172511949,60.896,0.164,46.484,0.323,160.637
3,1685173122152,6.579,1.216,25.303,0.158,75.585
19,1685175466824,6.696,0.299,20.87,0.335,66.777
4,1685177068760,6.128,2.121,31.07,0.064,80.477
20,1685177610225,7.871,1.398,35.904,2.841,121.189
3,1685182643625,6.452,1.395,16.675,0.66,71.983
20,1685182774996,197.315,0.025,36.08,0.194,278.661
10,1685185644809,6.489,0.925,16.455,1.215,79.24
8,1685186366325,7.862,0.509,17.833,1.794,69.061
15,1685186878582,7.53,1.195,33.835,0.828,134.097
20,1685187790244,43.797,0.274,17.411,1.321,107.841
3,1685191375303,7.099,0.986,62.706,0.128,230.731
8,1685196446718,6.574,0.456,17.986,1.779,64.692
15,1685197012073,46.402,0.194,17.497,0.572,157.771
15,1685202052374,6.669,1.35,19.472,0.822,148.34
10,1685205837059,6.972,1.434,19.876,1.56,66.02
10,1685205929288,6.868,1.602,29.928,0.368,81.453
15,1685207092972,6.968,1.292,28.009,0.928,82.509
18,1685212034496,5.896,0.509,21.955,0.547,76.913
9,1685229559298,7.399,1.352,40.434,0.124,103.05
11,1685231014135,8.068,0.248,16.551,1.027,69.246
4,1685233170939,5.989,1.503,16.841,1.247,70.286
1,1685233175378,6.352,0.945,21.597,0.139,68.818
11,1685234014994,6.228,0.642,16.786,1.132,76.661
9,1685234598808,6.863,1.457,27.199,0.184,74.076
4,1685238211996,16.224,0.123,16.266,1.66,72.519
11,1685239116244,6.386,0.783,17.455,1.089,64.627
9,1685239691250,9.268,2.266,16.732,1.016,71.699
4,1685242092955,6.159,1.786,32.007,0.781,74.569
1,1685243360607,28.549,0.21,22.712,0.088,107.666
11,1685243995684,5.933,0.337,16.405,0.975,61.85
20,1685244002720,7.753,0.903,21.056,2.66,90.724
9,1685244731633,7.338,1.363,8.345,1.558,64.69
20,1685246698157,7.182,1.949,27.886,3.765,89.923
11,1685246779027,6.825,1.172,15.594,0.898,58.369
1,1685248400755,7.063,0.849,19.601,0.204,75.383
19,1685248793144,5.87,0.341,24.929,0.481,70.679
9,1685249771961,8.312,2.166,16.19,0.926,70.789
11,1685249882949,7.756,0.387,17.573,1.195,91.515
19,1685251451577,6.143,0.326,20.335,0.836,66.065
11,1685252604630,6.345,0.315,26.394,0.644,92.921
2,1685253358256,6.731,0.297,58.283,0.532,144.811
6,1685254778655,8.559,2.337,20.013,1.499,190.752
9,1685254864610,9.098,1.099,28.978,0.345,87.745
3,1685255047944,64.236,0.125,16.0,0.625,137.507
11,1685255382748,5.798,0.345,16.733,1.016,61.151
20,1685256898575,56.022,0.036,51.262,0.312,194.127
3,1685257880093,7.41,1.35,22.864,0.787,87.448
1,1685258533820,9.76,0.512,17.253,0.116,134.031
9,1685259957352,7.06,3.116,15.937,0.878,72.573
3,1685260529349,6.323,1.265,32.011,0.281,88.124
20,1685262028303,6.291,1.431,34.285,0.408,92.14
6,1685264860491,8.372,2.389,12.048,2.324,82.691
20,1685268064106,6.298,0.794,8.922,1.681,61.232
17,1685268088784,7.85,0.764,43.425,0.438,110.428
3,1685268851767,6.181,1.456,15.684,0.255,74.198
5,1685269233513,18.869,0.318,19.07,1.783,87.287
17,1685271660475,5.992,0.334,27.148,0.626,75.456
20,1685272318109,7.389,1.218,16.52,0.969,68.18
8,1685272753214,7.139,0.28,42.935,0.675,102.341
7,1685274711564,7.65,1.699,33.071,0.151,166.388
6,1685274941580,28.217,0.744,35.456,1.1,98.266
15,1685275727242,6.984,1.289,17.888,1.398,74.685
13,1685277169327,6.407,0.78,18.238,0.932,88.944
17,1685277266182,6.814,0.734,39.091,0.384,88.394
7,1685279752339,9.146,1.968,38.15,0.655,173.46
6,1685279982029,9.175,1.09,10.865,2.945,109.297
17,1685280705342,6.524,0.766,16.421,1.644,84.678
15,1685280767733,6.945,1.296,19.631,0.713,123.098
13,1685282235056,6.196,0.968,69.038,0.116,144.299
7,1685284793133,7.664,1.435,31.611,1.17,232.925
15,1685285809061,6.992,1.287,18.408,0.706,91.33
8,1685287979093,7.269,1.238,29.675,1.213,83.337
8,1685293072312,22.87,0.394,18.225,1.317,79.647
15,1685295993827,6.854,1.313,16.851,0.712,94.077
8,1685298112221,8.727,0.229,16.649,1.321,82.54
8,1685308193650,7.143,1.68,21.41,1.401,72.665
20,1685330709517,6.771,1.034,30.155,3.449,100.734
20,1685333139296,6.636,0.904,27.412,3.539,81.396
20,1685335885321,7.76,0.773,32.105,0.561,84.843
20,1685338641770,6.39,0.939,29.764,0.403,76.585
20,1685341280539,7.019,0.855,30.669,0.424,91.47
20,1685343999865,7.386,1.354,37.587,0.585,94.802
4,1685347677660,10.879,0.184,84.697,0.13,160.71
19,1685351022001,6.16,0.487,20.697,0.773,142.089
11,1685351983969,9.613,0.624,34.828,0.488,91.681
15,1685352026541,9.658,1.346,22.771,1.449,146.927
20,1685352192729,7.169,1.255,42.965,0.163,101.575
11,1685354635691,7.449,0.671,34.53,0.405,87.649
19,1685356360541,8.502,0.235,23.667,0.465,79.603
1,1685356995652,6.756,0.888,19.738,0.152,81.518
11,1685357060084,6.203,0.484,16.339,1.04,77.189
11,1685357850248,6.84,0.731,25.354,0.552,83.875
13,1685358523672,8.335,0.6,77.586,0.129,149.332
11,1685361740558,6.082,1.48,42.808,0.444,87.745
1,1685362088569,6.676,0.899,16.787,0.357,70.146
15,1685362107097,24.83,0.201,24.018,1.041,164.763
4,1685362515723,6.002,1.5,15.929,1.193,63.716
9,1685363519231,10.32,2.035,45.894,0.174,101.214
13,1685363616011,6.006,0.5,20.818,0.961,74.762
11,1685364925522,6.479,0.309,17.378,0.921,68.45
4,1685365219880,6.683,2.245,17.264,1.448,58.401
15,1685367147781,7.876,1.651,29.181,0.445,146.047
11,1685367575026,6.141,0.326,15.92,1.005,64.608
4,1685367885187,6.251,2.4,25.05,0.479,70.656
9,1685368559327,9.088,1.871,16.588,0.904,74.62
13,1685368656368,8.219,0.365,16.906,0.651,100.942
8,1685369993699,7.482,1.604,22.346,2.282,91.574
11,1685370292027,6.175,0.324,16.191,0.988,66.977
4,1685370544105,6.354,2.203,31.818,0.063,85.213
15,1685372188091,7.989,0.751,20.078,0.647,149.416
11,1685373082412,10.749,0.186,15.111,0.993,65.503
3,1685373536283,27.356,0.366,21.591,0.556,178.767
9,1685373599521,9.242,1.515,16.733,1.076,126.641
4,1685373849949,6.112,1.473,16.367,1.589,62.074
18,1685374762237,5.692,0.351,9.482,1.687,119.093
3,1685376265461,7.402,1.081,28.387,0.211,158.471
4,1685376776887,6.212,1.449,17.022,1.527,71.859
15,1685377228645,7.283,1.236,22.952,1.525,153.891
11,1685378123126,5.769,0.52,15.505,1.032,56.118
9,1685378639939,7.091,1.41,16.796,0.834,64.057
12,1685379267030,6.966,1.005,27.964,1.037,82.784
6,1685382940600,9.489,2.424,33.849,0.65,136.523
18,1685384843220,6.461,1.393,8.103,1.975,89.365
6,1685387982217,10.117,1.977,41.104,0.973,104.215
8,1685400235406,9.125,0.11,19.161,0.783,104.307
20,1685425279774,7.158,1.118,53.648,0.13,114.932
10,1685433320174,6.497,1.385,25.731,0.777,78.399
4,1685434799012,6.902,2.173,30.862,0.065,75.646
4,1685437441103,6.489,2.157,16.751,1.552,68.46
4,1685440185933,6.872,1.455,26.081,1.38,188.175
19,1685441287615,5.901,0.339,41.961,0.334,163.894
11,1685441552121,6.594,0.607,15.841,1.199,87.616
1,1685443495890,10.756,0.558,13.984,0.286,78.558
4,1685443645821,7.184,1.81,46.321,0.324,109.034
20,1685443697125,6.721,1.488,29.392,0.17,117.237
19,1685443992338,5.827,0.343,20.992,0.619,66.131
13,1685444850689,6.827,0.439,15.693,0.828,73.44
11,1685446861254,6.285,0.477,50.422,0.258,103.51
4,1685447224698,6.891,2.032,29.414,0.17,85.679
11,1685449488282,6.834,0.293,16.274,0.983,65.215
4,1685449885690,6.771,2.068,110.064,0.091,188.005
15,1685451239265,6.45,0.62,29.926,0.535,96.158
11,1685452247548,6.206,0.806,25.234,0.555,72.452
4,1685452757582,7.005,2.141,45.181,0.022,89.999
1,1685453680701,6.93,0.722,23.913,0.418,82.426
11,1685454505095,7.745,0.646,41.229,0.315,92.912
13,1685454931861,11.627,0.172,18.364,0.98,154.295
9,1685454961964,6.855,2.042,15.358,0.781,67.529
11,1685455069842,6.219,0.965,16.767,1.193,61.174
4,1685455487316,6.281,1.592,29.337,0.068,71.226
15,1685456237333,7.029,1.423,8.729,0.916,80.773
8,1685456396085,9.95,0.402,17.819,1.403,79.687
11,1685457699423,6.636,0.753,15.649,0.895,64.877
12,1685457810791,7.716,1.555,87.047,0.31,146.511
4,1685458443659,7.248,2.07,16.419,1.584,75.266
4,1685458547867,6.337,1.42,58.629,0.034,110.376
1,1685458825226,10.949,0.457,25.495,0.157,92.698
9,1685460002466,6.954,1.438,16.129,0.744,63.419
11,1685460439369,6.189,0.323,52.107,0.326,100.648
16,1685460696081,7.287,2.058,60.48,0.083,120.747
4,1685461213794,7.146,2.099,23.725,0.379,63.898
15,1685461277389,54.242,0.147,16.697,0.898,170.2
1,1685463918505,6.557,0.763,16.977,0.295,162.892
11,1685465479561,6.5,0.462,15.915,1.005,63.514
16,1685465736563,6.892,1.451,44.413,0.248,195.54
18,1685466207455,8.426,0.237,8.026,1.495,67.524
15,1685466317865,6.987,0.859,55.106,0.599,177.854
18,1685470549861,6.113,0.982,20.44,1.517,69.197
12,1685483014663,7.23,1.383,50.543,0.198,115.229
2,1685495958347,7.364,0.272,54.911,0.2,115.979
2,1685498989076,7.14,0.28,50.066,0.24,104.198
2,1685501873315,6.887,0.29,15.999,0.5,94.231
20,1685503411327,9.197,1.74,47.541,0.168,116.319
2,1685504789262,17.594,0.114,17.381,0.805,90.542
20,1685506124931,8.127,1.23,28.784,3.509,84.197
20,1685508763828,7.155,1.398,23.947,2.965,86.493
20,1685511458984,6.638,0.753,28.63,0.838,96.459
20,1685519248546,6.871,1.164,36.981,0.595,105.171
11,1685525047567,6.051,0.331,15.123,0.992,73.619
4,1685525371443,6.737,2.227,21.968,0.273,67.192
11,1685527054679,23.979,0.125,16.098,1.056,83.707
1,1685529904536,19.944,0.251,20.996,0.238,84.995
4,1685532166586,6.963,1.867,17.355,1.325,60.872
3,1685533924021,6.766,1.626,24.985,0.32,90.023
19,1685534629279,6.035,0.331,29.742,0.504,73.868
1,1685534997090,7.657,0.653,19.187,0.156,88.015
9,1685536324411,23.45,0.426,44.288,0.181,219.856
13,1685536346657,9.788,0.306,41.944,0.048,102.063
12,1685536828870,7.781,2.185,78.689,0.114,133.753
3,1685536931097,6.584,1.367,23.261,0.301,96.39
19,1685537279151,6.022,0.332,19.764,0.607,64.071
4,1685537289073,6.781,1.917,49.13,0.366,243.041
15,1685537481302,14.031,0.641,27.355,0.219,164.997
11,1685538314492,6.454,0.31,19.829,0.454,80.359
4,1685539949165,6.758,1.628,45.952,0.152,128.919
9,1685541364840,7.541,2.785,15.865,0.945,89.137
11,1685541391240,6.579,0.304,19.371,1.084,88.247
4,1685542597909,6.96,2.155,24.866,0.08,68.955
15,1685542740583,6.216,0.804,33.236,0.241,73.243
11,1685544191045,6.736,0.891,16.455,0.972,70.241
3,1685544718160,6.325,1.581,26.424,0.265,99.446
12,1685544989736,6.677,1.048,27.254,0.183,88.848
4,1685546172837,6.394,2.033,39.741,0.05,82.83
9,1685546457588,7.104,1.971,18.819,1.01,71.477
11,1685546912779,7.481,0.668,17.032,1.057,76.587
15,1685547667601,6.619,0.755,29.021,0.793,88.504
4,1685548826205,7.616,2.101,32.093,0.062,91.996
6,1685550713392,8.056,2.483,21.144,2.601,88.898
9,1685551497868,7.419,1.887,15.79,0.95,63.347
15,1685552760296,7.203,1.111,17.888,0.727,134.504
8,1685552930795,7.105,1.407,16.97,1.179,91.34
18,1685562297950,9.15,1.421,17.208,1.162,85.01
8,1685563011143,16.182,0.247,17.609,1.079,95.278
18,1685572378994,6.207,1.289,9.697,1.753,111.887
7,1685607726766,7.441,2.15,29.888,0.535,115.275
4,1685610209677,6.222,1.607,16.282,1.474,60.339
4,1685612905371,6.26,1.438,15.054,1.528,66.701
4,1685618565650,19.26,0.675,15.827,1.327,76.933
4,1685621263772,6.746,1.927,37.602,0.053,96.066
15,1685622693701,8.297,0.482,16.697,0.838,95.357
19,1685622835318,7.291,0.274,25.509,0.51,243.383
4,1685624983364,6.197,1.452,25.373,0.631,70.636
15,1685625487603,23.71,0.169,17.165,1.165,90.893
12,1685625626155,7.209,1.526,58.009,0.345,112.491
1,1685626328477,7.801,0.769,32.892,0.547,82.678
13,1685627759075,6.462,0.464,26.155,0.421,128.632
15,1685628248498,11.874,1.095,64.332,0.42,171.018
4,1685629377650,6.306,1.427,34.265,0.058,84.025
11,1685629643888,6.198,0.645,17.984,0.667,72.344
7,1685630359719,7.581,1.715,31.131,0.482,234.23
15,1685630931036,6.728,1.189,16.847,0.89,62.516
4,1685632026094,6.936,1.874,33.284,0.06,90.919
11,1685632588767,6.238,1.603,17.118,0.818,62.154
10,1685632779825,7.809,1.921,30.243,0.463,81.799
19,1685632915694,7.402,0.675,22.043,0.454,70.851
15,1685633815559,7.85,1.146,16.939,0.59,116.758
4,1685634677501,6.189,1.939,15.759,1.523,75.582
11,1685635332031,7.534,1.327,21.318,0.938,76.787
3,1685635988142,6.008,0.999,14.972,0.401,74.008
11,1685636198789,6.086,0.493,7.609,1.183,41.039
15,1685636698878,11.04,1.178,17.788,1.405,92.455
10,1685637819807,6.944,2.448,19.173,2.504,69.178
8,1685639272481,7.657,1.045,20.569,0.972,79.526
15,1685639341181,7.486,1.336,25.061,0.479,85.134
6,1685640001981,9.937,2.013,33.895,1.062,87.235
12,1685640747809,6.545,0.917,94.965,0.126,200.438
6,1685644361130,7.595,2.37,28.376,0.74,116.46
6,1685649402831,8.451,2.248,30.745,1.301,82.757
3,1685692678097,7.174,1.255,15.427,0.259,79.355
11,1685696498230,6.155,0.975,38.641,0.362,108.812
4,1685697113427,6.249,1.6,40.846,0.049,87.731
13,1685699017461,6.765,1.478,17.737,0.395,73.615
11,1685699144840,6.149,0.325,15.68,1.084,83.474
10,1685700213474,7.743,1.291,29.16,0.926,91.794
20,1685700753758,6.345,1.418,23.818,2.855,84.38
4,1685701539439,6.515,2.149,36.824,0.788,80.203
11,1685701988514,6.465,0.309,16.491,1.759,76.216
7,1685703620631,7.931,1.639,19.417,2.009,87.032
13,1685704057599,9.652,1.347,38.871,0.051,100.978
10,1685704112903,6.211,1.61,26.467,0.567,73.199
11,1685704689455,5.987,0.334,33.638,0.386,78.364
3,1685705733701,7.538,1.061,27.887,0.215,157.976
11,1685707421079,6.587,0.455,15.385,0.845,63.551
7,1685708659704,12.192,0.82,33.871,0.679,128.166
11,1685710098160,8.595,0.582,19.31,1.761,78.677
4,1685711610550,6.29,2.385,16.3,1.411,86.628
11,1685713241271,6.884,1.307,22.677,0.353,76.293
13,1685714190504,6.102,0.492,54.446,0.037,116.746
3,1685715524351,9.525,0.84,25.006,0.28,222.671
8,1685715626810,6.533,1.378,18.011,1.333,77.017
12,1685715947533,7.196,1.251,113.968,0.149,173.484
4,1685716650821,6.691,2.242,15.996,1.125,61.075
7,1685718740708,9.979,2.104,24.942,2.365,120.791
10,1685719285987,6.803,1.176,21.945,1.823,76.535
11,1685720729474,9.228,2.059,63.589,0.094,112.954
12,1685720988265,7.06,1.416,29.792,0.604,97.181
14,1685721579190,32.428,0.247,10.952,0.274,95.859
16,1685722073543,6.333,1.105,35.835,0.14,93.964
10,1685722806524,8.657,1.155,29.654,1.315,94.103
10,1685724326886,26.733,0.374,18.933,1.69,107.544
11,1685744382227,6.484,0.463,15.418,0.973,70.856
11,1685749422957,7.46,1.072,15.5,0.903,64.912
4,1685751573348,7.216,1.524,17.928,1.896,62.437
1,1685751599919,8.03,0.747,25.436,0.079,86.295
11,1685754515580,6.497,0.462,17.255,0.927,100.127
4,1685757435491,6.14,1.14,27.421,1.131,100.827
11,1685759608503,6.716,0.298,17.237,0.986,69.582
4,1685761654301,6.965,2.154,16.435,1.46,87.865
5,1685762352709,6.226,0.482,12.014,2.497,62.525
4,1685765865555,6.222,1.446,17.351,1.729,65.149
11,1685771088902,6.002,0.5,19.313,0.777,83.796
1,1685771615558,6.86,1.166,22.541,0.444,69.985
6,1685774141361,9.423,2.122,18.134,1.93,147.695
3,1685774625895,6.909,1.303,24.563,0.081,190.475
9,1685778297553,9.671,2.378,17.312,1.098,76.799
3,1685779719051,6.92,1.301,25.538,0.078,187.244
13,1685780371885,7.037,1.137,16.922,1.064,73.991
3,1685782413549,8.224,1.216,25.039,0.24,173.186
6,1685789169586,7.836,2.552,29.694,0.606,98.065
13,1685790504942,12.035,0.249,30.072,0.665,177.015
3,1685791412671,6.494,1.232,21.942,0.273,90.726
4,1685792441848,7.027,1.85,33.779,0.059,81.141
13,1685795649596,6.937,1.153,37.923,0.633,118.794
3,1685796505694,8.364,1.196,15.247,0.131,78.539
7,1685798126880,8.652,1.387,35.515,0.873,187.02
13,1685800742121,24.514,0.122,18.036,0.943,120.06
16,1685801275860,6.473,1.39,19.225,0.208,72.038
7,1685802901174,9.273,2.265,132.989,0.18,475.119
10,1685805467486,6.52,1.38,18.627,2.308,63.591
10,1685810609402,6.794,1.472,19.968,2.304,81.254
12,1685816346078,6.417,0.935,25.663,0.468,84.964
9,1685834398866,7.201,1.389,16.159,1.052,71.13
11,1685839777517,6.261,0.479,31.983,0.469,159.861
9,1685844531458,8.235,2.186,17.053,0.997,80.766
11,1685845195559,6.022,0.498,15.582,1.091,75.716
20,1685846464178,6.689,1.046,46.492,0.731,115.255
9,1685849571599,10.004,1.699,31.644,0.442,167.292
11,1685853798755,6.042,0.497,26.096,0.728,80.988
9,1685854612087,8.083,2.227,25.187,0.715,96.395
20,1685857300145,6.273,0.319,9.224,2.71,59.073
9,1685859653063,7.704,1.298,26.429,0.416,117.274
20,1685862352228,8.169,1.102,33.232,0.481,134.034
1,1685863475788,6.776,0.885,21.595,0.046,115.842
20,1685865146104,6.784,1.032,28.077,3.526,145.937
20,1685868479840,6.258,1.438,34.17,0.498,113.306
10,1685869573549,7.819,1.279,48.273,0.352,157.829
7,1685870245514,8.186,2.565,24.471,2.779,70.232
11,1685871004182,7.529,1.328,15.873,0.945,79.885
20,1685871167492,16.228,0.555,60.981,0.312,178.559
10,1685871797640,6.696,1.344,9.853,0.913,69.486
3,1685873455610,6.28,1.433,22.59,0.221,113.621
4,1685874361142,6.319,2.057,15.803,1.582,86.177
3,1685878311467,6.359,1.258,26.367,0.19,146.65
12,1685881147309,7.747,2.453,17.043,0.704,76.352
3,1685882223630,7.28,1.099,16.368,0.367,85.406
7,1685885366572,9.806,1.632,23.245,2.667,100.833
12,1685886188559,7.556,1.985,17.693,0.848,83.934
10,1685891204435,6.758,1.036,46.266,0.67,120.561
12,1685891228245,6.784,1.032,19.955,0.651,74.931
11,1685892180429,6.672,0.749,15.019,0.932,66.016
10,1685893400386,7.677,1.042,56.689,0.67,155.52
11,1685894981096,6.406,0.781,15.829,0.758,67.818
10,1685897000043,6.416,1.403,18.631,2.04,75.641
8,1685897610283,5.999,0.667,15.349,1.173,62.812
11,1685897624897,6.801,0.735,15.542,0.965,107.341
20,1685938062779,6.215,1.126,36.538,0.712,93.412
10,1685948984326,6.564,1.219,41.955,0.381,107.096
10,1685952518471,6.681,1.497,31.333,0.351,77.988
20,1685953338067,6.286,0.795,83.245,0.096,169.388
11,1685955045374,6.634,1.206,15.131,0.925,71.173
1,1685956829366,7.113,0.703,17.566,0.342,69.652
10,1685958201765,7.716,1.426,21.463,2.19,77.113
1,1685961929914,8.122,1.231,53.36,0.206,133.405
16,1685963999373,6.402,1.25,10.439,0.766,55.828
4,1685964839797,6.293,1.43,28.553,0.56,73.714
7,1685965238512,7.786,1.798,28.671,0.907,81.252
1,1685967066845,7.075,0.707,18.296,0.164,67.381
