uid,startTime,TIME,aqara_door_ImmediatePast_60min,aqara_door_ImmediatePast_180min,aqara_door_ImmediatePast_360min,aqara_door_ImmediatePast_720min,aqara_cleaner_ImmediatePast_60min,aqara_cleaner_ImmediatePast_180min,aqara_cleaner_ImmediatePast_360min,aqara_cleaner_ImmediatePast_720min,aqara_chair_ImmediatePast_60min,aqara_chair_ImmediatePast_180min,aqara_chair_ImmediatePast_360min,aqara_chair_ImmediatePast_720min,aqara_fridge_ImmediatePast_60min,aqara_fridge_ImmediatePast_180min,aqara_fridge_ImmediatePast_360min,aqara_fridge_ImmediatePast_720min,aqara_microwave_ImmediatePast_60min,aqara_microwave_ImmediatePast_180min,aqara_microwave_ImmediatePast_360min,aqara_microwave_ImmediatePast_720min,aqara_motion_ImmediatePast_60min,aqara_motion_ImmediatePast_180min,aqara_motion_ImmediatePast_360min,aqara_motion_ImmediatePast_720min,aqara_tv_ImmediatePast_60min,aqara_tv_ImmediatePast_180min,aqara_tv_ImmediatePast_360min,aqara_tv_ImmediatePast_720min,aqara_washer_ImmediatePast_60min,aqara_washer_ImmediatePast_180min,aqara_washer_ImmediatePast_360min,aqara_washer_ImmediatePast_720min
11,1683805169820,2023-05-11 11:39:29.820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1683805528709,2023-05-11 11:45:28.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1683806158487,2023-05-11 11:55:58.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1683807902215,2023-05-11 12:25:02.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1683808055725,2023-05-11 12:27:35.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1683808291439,2023-05-11 12:31:31.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1683810980483,2023-05-11 13:16:20.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1683812587740,2023-05-11 13:43:07.740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1683812995017,2023-05-11 13:49:55.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1683813332504,2023-05-11 13:55:32.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
