uid,startTime,aqara_chair,aqara_cleaner,aqara_door,aqara_fridge,aqara_microwave,aqara_motion,aqara_tv,aqara_washer,aqara_brightness_mean,aqara_brightness_min,aqara_brightness_max,aqara_air_pressure_mean,aqara_air_pressure_min,aqara_air_pressure_max,aqara_temperature_mean,aqara_temperature_min,aqara_temperature_max,aqara_humidity_mean,aqara_humidity_min,aqara_humidity_max
13.0,1685800742121.0,,,1,2,,39,,,22.560431,0.0,50.0,100425.555556,100200.0,100630.0,2678.892857,2616.0,2762.0,4950.107143,4411.0,5401.0
15.0,1686051283670.0,,14,,,,,25.48,,19.03373,0.0,46.0,100791.578947,100600.0,101020.0,2817.916667,2797.0,2862.0,4780.083333,4704.0,4853.0
2.0,1686147900661.0,,,,,,,,,,,,,,,,,,,,
1.0,1686361515449.0,,,,,,,,,,,,,,,,,,,,
11.0,1685033683654.0,,,2,,,,6.38,,122.626323,0.0,220.0,101422.696687,101200.0,101640.0,2788.423077,2724.0,2846.0,4225.964286,3524.0,4798.0
15.0,1685105641685.0,46,,2,,,174,6.07,,64.055556,0.0,174.0,101688.970588,101590.0,101830.0,2813.5,2760.0,2838.0,4123.6,3982.0,4268.0
8.0,1685369993699.0,73,,,,,179,,,63.773526,0.0,259.0,100291.706349,100200.0,100490.0,2326.362745,2180.0,2459.0,5926.1,4968.0,7510.0
15.0,1686499303178.0,,,,,,,,,,,,,,,,,,,,
4.0,1684836025233.0,12,,,1,,15,,,86.079916,0.0,243.0,100953.478261,100880.0,101060.0,2462.133333,2424.0,2498.0,6386.846154,5385.0,6764.0
1.0,1685113037787.0,1,,,9,,1,198.88,,10.145833,0.0,29.0,101332.280702,101200.0,101450.0,2502.846154,2454.0,2576.0,4636.230769,4470.0,5023.0
11.0,1685157892035.0,,,2,,,,6.260000000000001,,59.042965,0.0,268.0,101763.5,101700.0,101820.0,2816.607143,2787.0,2880.0,5372.923077,5230.0,5485.0
15.0,1685372188091.0,37,,,,1,228,93.1,3,106.484848,0.0,206.0,100940.294118,100800.0,101110.0,2736.14881,2509.0,2883.0,6650.977778,5302.0,7710.0
15.0,1685636698878.0,59,,3,,,104,6.080000000000001,2,59.332847,0.0,184.0,100343.928571,100200.0,100630.0,2845.133333,2806.0,2917.0,5791.547619,5395.0,6428.0
11.0,1685759608503.0,,8,16,1,2,181,6.789999999999999,,202.756875,5.0,350.0,100179.431818,100000.0,100490.0,2824.694444,2681.0,2942.0,5640.653846,5210.0,5971.0
17.0,1684248942490.0,9,,2,,,83,2.1,,36.545455,0.0,154.0,100778.823529,100700.0,100900.0,2677.538462,2662.0,2709.0,6313.571429,6033.0,7098.0
17.0,1684579392652.0,4,,2,1,,31,2.3400000000000007,,32.184343,0.0,113.0,100827.105263,100700.0,100970.0,2696.25,2647.0,2752.0,6545.095238,5957.0,7219.0
10.0,1684946680541.0,,,,,,,,,6.3,0.0,17.0,101183.095238,101000.0,101430.0,2340.307692,2325.0,2350.0,4995.071429,4778.0,5315.0
17.0,1685969519214.0,,,1,1,,9,2.4800000000000004,,30.382143,0.0,58.0,100859.52381,100800.0,100940.0,2959.178571,2926.0,3031.0,4693.384615,4348.0,5725.0
10.0,1686054739405.0,2,1,2,,,96,,,48.833333,0.0,261.0,100589.25,100400.0,100810.0,2672.1875,2603.0,2743.0,5475.416667,4989.0,5978.0
9.0,1686054769346.0,,,1,1,7,54,,,114.66697,0.0,796.0,100640.47619,100480.0,100900.0,2636.541667,2613.0,2677.0,5116.25,4973.0,5785.0
17.0,1686237852403.0,45,18,1,10,,85,2.38,,74.928855,35.0,126.0,99952.118056,99800.0,100130.0,3066.022222,2772.0,3251.0,4676.766667,3548.0,5871.0
15.0,1686242637474.0,48,,1,,,125,4.9,,79.593012,0.0,202.0,100215.530303,100090.0,100400.0,2913.733333,2866.0,2987.0,5655.730769,5405.0,6159.0
15.0,1686583279457.0,,,,,,,,,,,,,,,,,,,,
20.0,1684154239497.0,12,,,3,,,,,79.166667,0.0,177.0,100471.825397,100300.0,100580.0,2359.192308,2318.0,2439.0,4872.307692,4419.0,5122.0
20.0,1684495920883.0,11,2,30,4,,,,10,79.765042,0.0,291.0,100387.888889,100300.0,100510.0,2345.853846,2077.0,2460.0,6177.444444,4939.0,6675.0
7.0,1684654782084.0,3,1,3,,,39,,,40.312013,0.0,324.0,100855.939394,100800.0,100920.0,2645.857143,2617.0,2658.0,7238.461538,6736.0,7459.0
11.0,1684852676764.0,,,4,,,,,,144.461573,0.0,359.0,100956.759259,100800.0,101070.0,2537.625,2453.0,2662.0,5265.035714,4534.0,6263.0
10.0,1685205929288.0,18,,2,11,4,189,,,93.331019,0.0,229.0,101316.535088,101200.0,101560.0,2541.083333,2422.0,2646.0,6826.214286,6379.0,7739.0
4.0,1685373849949.0,13,16,,,,53,,,73.12994,1.0,295.0,101001.851852,100900.0,101120.0,2530.153846,2509.0,2547.0,7475.461538,7197.0,7692.0
8.0,1685400235406.0,25,,,,,55,,,70.391751,20.0,810.0,100304.122807,100200.0,100430.0,2470.392857,2398.0,2501.0,6326.730769,5803.0,6618.0
13.0,1685704057599.0,3,1,,1,2,118,,,27.25,0.0,52.0,99879.487179,99800.0,100000.0,2862.458333,2840.0,2893.0,4749.888889,4432.0,5548.0
12.0,1685891228245.0,,12,,,11,209,,2,502.23867,0.0,1882.0,100768.484849,100600.0,100940.0,2805.3,2663.0,2932.0,4534.346154,4133.0,4992.0
20.0,1686025319451.0,,,3,7,,,,,107.477859,0.0,282.0,100476.481481,100280.0,100700.0,2453.714286,2405.0,2522.0,5582.928571,5068.0,6476.0
11.0,1686154410894.0,,2,6,,3,92,,,186.427764,1.0,332.0,100713.416667,100600.0,100810.0,2932.852941,2794.0,3000.0,5354.153846,4834.0,5701.0
17.0,1686243256228.0,45,18,1,10,,85,2.38,,74.928855,35.0,126.0,99952.118056,99800.0,100130.0,3066.022222,2772.0,3251.0,4676.766667,3548.0,5871.0
3.0,1686297672116.0,124,,,10,,,,,192.802604,45.0,440.0,100208.333333,100100.0,100350.0,2680.511111,2541.0,2792.0,5666.45,4956.0,5969.0
17.0,1686396427977.0,,,,,,,,,,,,,,,,,,,,
11.0,1683794612341.0,,,,,,,,,,,,,,,,,,,,
9.0,1684418155513.0,7,,1,,,38,,,23.203704,0.0,110.0,100964.666667,100900.0,101050.0,2577.785714,2548.0,2612.0,5651.076923,5570.0,5809.0
