uid,startTime,TIME,aqara_door_yesterday_daytime_mean_720min,aqara_door_yesterday_nighttime_mean_720min,aqara_cleaner_yesterday_daytime_mean_720min,aqara_cleaner_yesterday_nighttime_mean_720min,aqara_chair_yesterday_daytime_mean_720min,aqara_chair_yesterday_nighttime_mean_720min,aqara_fridge_yesterday_daytime_mean_720min,aqara_fridge_yesterday_nighttime_mean_720min,aqara_microwave_yesterday_daytime_mean_720min,aqara_microwave_yesterday_nighttime_mean_720min,aqara_motion_yesterday_daytime_mean_720min,aqara_motion_yesterday_nighttime_mean_720min,aqara_tv_yesterday_daytime_mean_720min,aqara_tv_yesterday_nighttime_mean_720min,aqara_washer_yesterday_daytime_mean_720min,aqara_washer_yesterday_nighttime_mean_720min,aqara_door_yesterday_daytime_std_720min,aqara_door_yesterday_nighttime_std_720min,aqara_cleaner_yesterday_daytime_std_720min,aqara_cleaner_yesterday_nighttime_std_720min,aqara_chair_yesterday_daytime_std_720min,aqara_chair_yesterday_nighttime_std_720min,aqara_fridge_yesterday_daytime_std_720min,aqara_fridge_yesterday_nighttime_std_720min,aqara_microwave_yesterday_daytime_std_720min,aqara_microwave_yesterday_nighttime_std_720min,aqara_motion_yesterday_daytime_std_720min,aqara_motion_yesterday_nighttime_std_720min,aqara_tv_yesterday_daytime_std_720min,aqara_tv_yesterday_nighttime_std_720min,aqara_washer_yesterday_daytime_std_720min,aqara_washer_yesterday_nighttime_std_720min
7,1686057530746,2023-06-06 13:18:50.746,,,,,,,,,,,,,7.959999999999999,8.059999999999999,,,,,,,,,,,,,,,0.25455844122715604,0.11313708498984645,,
12,1686057548481,2023-06-06 13:19:08.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1686057864105,2023-06-06 13:24:24.105,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,1686058479712,2023-06-06 13:34:39.712,,,,,,,,,,,,,4.290000000000001,60.03,,,,,,,,,,,,,,,0.45254833995939114,78.37571562671693,,
6,1686058999766,2023-06-06 13:43:19.766,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
19,1686059148333,2023-06-06 13:45:48.333,,,,,,,,,,,,,6.340000000000002,6.375000000000002,,,,,,,,,,,,,,,0.2969848480983518,0.24748737341529325,,
3,1686059157234,2023-06-06 13:45:57.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1686059276959,2023-06-06 13:47:56.959,,,,,,,,,,,,,2.6100000000000003,2.555,,,,,,,,,,,,,,,0.1838477631085022,0.26162950903902266,,
10,1686059780067,2023-06-06 13:56:20.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1686059809758,2023-06-06 13:56:49.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1686059921091,2023-06-06 13:58:41.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1686060521496,2023-06-06 14:08:41.496,,,,,,,,,,,,,15.28,4.979999999999999,,,,,,,,,,,,,,,14.424978336205571,0.14142135623730837,,
11,1686060572205,2023-06-06 14:09:32.205,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
4,1686060947638,2023-06-06 14:15:47.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1686061236045,2023-06-06 14:20:36.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1686062567726,2023-06-06 14:42:47.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1686062589384,2023-06-06 14:43:09.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1686063367996,2023-06-06 14:56:07.996,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
15,1686063484478,2023-06-06 14:58:04.478,,,,,,,,,,,,,15.28,4.979999999999999,,,,,,,,,,,,,,,14.424978336205571,0.14142135623730837,,
1,1686063624393,2023-06-06 15:00:24.393,,,,,,,,,,,,,4.290000000000001,60.03,,,,,,,,,,,,,,,0.45254833995939114,78.37571562671693,,
6,1686064040616,2023-06-06 15:07:20.616,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
3,1686064250277,2023-06-06 15:10:50.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
