,uid,startTime,prior_context(sec),prior_context_speech_rate,dixit(sec),dixit_speech_rate,whole_conv_length(sec)
211,15,1684070024357,7.459,1.475,75.543,0.119,139.885
212,10,1684070189259,6.622,1.208,24.903,1.927,76.716
213,15,1684072882513,7.026,1.281,20.264,1.332,108.91
215,6,1684074687921,9.372,2.774,21.238,1.554,104.308
216,20,1684074981808,6.241,0.481,23.819,1.889,90.26
217,10,1684075282588,6.2,1.29,18.566,1.185,138.419
218,15,1684075701262,8.585,1.048,58.693,0.153,204.469
220,8,1684078309879,7.033,1.28,47.167,0.064,102.273
221,16,1684078325494,7.607,1.709,59.99,0.067,118.161
222,7,1684078436851,8.246,1.698,30.309,0.957,157.056
223,10,1684080322516,41.545,0.241,39.929,0.526,121.286
224,15,1684081031227,6.531,1.378,52.546,0.19,144.196
226,17,1684081827888,6.909,0.724,53.996,0.222,111.419
228,15,1684083755357,6.036,1.491,133.69,0.045,254.878
229,17,1684084470596,6.605,0.908,61.872,0.291,104.314
230,6,1684084769175,8.431,2.372,24.034,1.248,115.052
231,8,1684088390102,7.372,0.543,31.737,0.252,79.203
233,18,1684111372298,6.899,0.29,28.771,0.591,130.884
234,5,1684115380039,7.492,0.801,25.104,0.916,134.684
235,2,1684123631395,7.203,0.278,30.195,0.729,78.941
236,1,1684134781937,6.634,0.603,36.853,0.461,87.627
237,20,1684135355035,7.325,0.819,63.859,0.298,120.733
238,7,1684137586140,9.685,2.581,22.2,1.892,85.832
239,20,1684138134025,16.248,0.185,21.419,0.093,149.642
240,7,1684140634699,8.284,0.724,33.444,0.748,192.458
242,20,1684143806195,7.573,1.188,21.211,2.593,86.735
243,1,1684147348374,6.201,0.968,21.5,0.698,70.294
244,16,1684149546297,7.409,1.485,19.159,1.357,100.148
245,1,1684151529651,6.615,1.361,22.795,0.746,75.792
246,7,1684151538296,9.283,1.616,34.372,0.873,174.988
247,11,1684152988603,6.758,0.444,30.127,0.498,90.412
248,19,1684153047571,6.522,0.307,86.562,0.127,234.12
249,9,1684153907280,7.094,1.41,17.15,0.583,70.683
250,7,1684154196982,8.035,1.742,38.186,0.236,171.981
251,20,1684154239497,6.817,0.88,31.752,0.504,85.774
253,15,1684154944160,7.216,0.554,31.002,0.484,132.019
254,11,1684155769268,6.149,0.325,25.619,0.468,88.155
255,15,1684157536680,6.9,0.87,41.868,0.191,142.66
256,19,1684158088335,7.589,0.264,25.623,0.351,74.006
257,11,1684158572696,6.193,0.323,25.943,0.617,92.105
258,9,1684158947642,6.657,1.502,15.721,0.954,61.685
259,4,1684158952010,6.855,1.459,18.559,1.67,66.167
260,16,1684159626317,7.678,2.344,19.036,1.366,93.721
261,15,1684160223481,65.294,0.199,21.422,1.727,161.678
262,8,1684160391480,28.351,0.6,58.458,0.12,129.374
264,11,1684161244138,7.445,0.672,25.88,0.734,98.169
265,20,1684162803496,6.747,1.186,46.5,0.409,106.944
266,15,1684162945335,6.935,1.298,25.322,0.711,108.378
267,10,1684163965328,6.665,0.75,42.597,0.47,126.998
268,9,1684163988153,6.592,1.517,15.651,0.831,60.448
270,11,1684163997425,6.587,0.607,27.182,0.736,88.918
273,8,1684165432544,7.055,1.984,21.986,1.592,75.597
274,15,1684165728995,7.213,0.832,106.103,0.141,220.187
275,11,1684167129004,8.508,0.94,27.92,1.11,126.109
276,7,1684167904994,9.501,1.684,25.106,1.992,99.935
278,15,1684168682619,7.017,1.425,39.782,0.679,100.767
279,4,1684169085902,6.621,2.266,31.514,0.508,86.715
281,8,1684175431696,6.698,0.597,19.041,1.471,86.17
282,18,1684176734864,8.495,1.648,39.653,0.227,94.075
283,8,1684180468572,6.779,0.885,21.614,1.851,79.524
285,18,1684191772828,6.799,0.294,9.707,1.236,68.059
287,2,1684205047279,20.397,0.098,18.834,1.274,103.928
288,2,1684210087576,6.342,0.473,13.531,0.739,63.243
290,1,1684217886858,6.207,0.322,31.195,0.545,79.557
291,20,1684219815461,7.964,1.507,32.585,0.43,90.411
292,20,1684224054742,16.465,0.121,55.12,0.236,110.953
293,20,1684224238016,7.114,1.546,43.341,0.531,105.529
294,4,1684225187966,6.633,1.357,22.156,0.948,75.98
295,20,1684226865592,6.486,0.308,21.112,1.847,78.016
296,20,1684229562363,6.826,0.293,34.308,2.507,189.486
297,13,1684230236657,8.683,0.921,43.242,0.879,207.304
298,11,1684231702757,6.488,0.771,37.27,0.51,92.257
302,11,1684237648090,6.649,0.451,26.812,0.783,89.129
303,15,1684238727502,7.174,0.697,44.574,0.337,165.627
304,9,1684240310497,27.266,0.77,16.662,0.9,90.818
305,16,1684240995917,6.901,1.739,30.001,0.133,96.296
306,15,1684241381922,10.075,0.893,30.099,0.93,143.865
307,11,1684242687864,6.853,0.73,34.558,0.492,91.873
309,20,1684243079204,7.188,1.669,93.62,0.182,198.203
310,16,1684243638793,6.27,1.595,17.613,1.363,69.883
311,15,1684244065131,6.864,1.311,131.21,0.061,370.961
312,9,1684245350448,6.769,1.477,16.436,0.608,61.105
313,11,1684245628069,7.173,1.115,25.322,0.632,74.336
315,17,1684248942490,6.847,0.292,19.452,1.851,73.007
317,7,1684250274579,8.309,1.685,29.195,0.856,163.536
318,9,1684250390622,7.127,1.403,37.275,0.08,83.461
319,1,1684251142987,7.762,0.644,19.436,0.463,65.063
320,17,1684251596120,6.06,0.33,48.858,0.368,93.34
321,8,1684251725622,7.054,1.276,41.049,0.658,95.191
322,15,1684252013669,7.097,0.705,28.007,0.5,116.803
323,16,1684252373347,6.797,1.471,20.692,1.208,70.832
324,7,1684252887274,7.891,1.774,43.834,0.662,236.42
325,11,1684253519511,6.449,0.31,25.883,0.618,70.804
326,17,1684254304805,6.583,0.304,19.484,1.694,69.851
327,6,1684254681024,10.422,1.247,40.437,0.495,137.582
328,10,1684255323531,6.689,1.495,41.616,0.649,98.551
329,4,1684255435231,6.476,2.162,30.907,0.388,77.781
330,15,1684256425817,6.822,1.319,38.499,0.208,166.192
331,8,1684256766062,6.615,0.454,34.344,0.815,78.268
332,17,1684257055950,6.725,0.297,57.287,0.698,97.526
333,6,1684259721934,8.596,1.861,32.497,0.154,240.642
336,18,1684266738130,6.33,0.316,31.764,0.472,137.282
337,8,1684266846633,11.504,0.869,32.14,0.996,95.275
340,5,1684288180385,7.602,1.315,41.308,0.46,174.49
342,1,1684301143264,6.891,0.726,19.065,0.367,71.952
343,1,1684311365543,6.795,0.736,28.524,0.175,74.77
344,11,1684313198750,9.132,1.205,31.581,0.728,100.187
346,17,1684317891977,29.383,0.068,32.599,0.767,104.805
347,11,1684318889926,6.732,1.485,29.248,0.855,78.308
348,19,1684320682142,21.495,0.093,26.424,0.416,88.069
350,11,1684321700809,7.075,1.555,16.508,0.969,72.78
351,7,1684322689190,8.446,2.368,34.726,1.526,173.816
352,17,1684322931056,6.863,0.729,17.863,1.512,72.165
353,1,1684323427292,6.466,0.928,39.632,0.278,89.794
354,7,1684325356740,8.874,1.803,37.662,0.69,185.699
355,14,1684326432190,6.717,1.191,14.14,2.758,66.756
356,9,1684326712528,8.775,2.165,32.633,0.184,85.569
357,4,1684326719687,6.253,1.759,20.787,1.876,70.386
358,17,1684328216070,6.029,0.498,41.812,0.454,143.65
359,7,1684328291635,7.699,2.208,23.889,1.381,94.135
360,14,1684329127479,14.365,0.766,12.292,2.359,72.683
361,11,1684329774057,29.74,0.303,26.427,0.53,105.655
362,19,1684330762424,11.397,0.088,21.17,0.472,91.573
363,17,1684330860678,5.954,0.84,45.726,0.569,95.03
364,7,1684330938760,7.246,0.828,30.901,1.003,139.481
365,16,1684331618221,7.293,2.194,19.469,1.233,77.301
366,9,1684331752945,9.967,2.107,18.162,0.936,67.529
367,4,1684331760852,7.011,1.712,23.737,1.095,98.805
368,11,1684332621462,6.613,0.302,71.452,0.196,120.243
369,7,1684333594135,9.657,1.864,27.447,0.51,197.615
370,16,1684335691635,6.134,0.978,45.386,0.264,94.994
372,7,1684336246877,8.555,1.403,22.694,1.807,230.699
373,9,1684336793509,9.711,2.162,18.509,0.432,76.557
375,7,1684339102428,9.044,2.101,30.574,0.621,93.655
376,16,1684339246395,6.358,1.101,20.359,1.474,64.993
377,17,1684340556104,6.594,0.758,31.767,0.724,75.323
379,9,1684341833657,6.968,1.435,16.378,1.038,61.272
380,4,1684341842877,6.722,1.785,15.928,1.256,141.384
381,15,1684342996157,8.914,0.785,36.865,0.271,177.633
383,17,1684343662755,6.432,0.311,29.17,0.754,78.551
385,8,1684348100932,6.631,0.905,17.139,0.934,64.263
386,18,1684348240465,8.786,1.366,9.045,1.327,68.798
387,8,1684353193463,6.743,1.335,62.181,0.289,116.805
388,12,1684356072332,7.608,0.526,64.629,0.356,368.491
389,2,1684372791492,24.08,0.249,32.372,0.432,119.781
391,2,1684380473908,6.544,0.306,20.408,0.882,66.827
392,10,1684397983791,6.188,0.97,59.142,0.287,178.936
393,1,1684398507113,33.041,0.182,112.704,0.053,195.559
394,4,1684403045141,6.804,2.058,34.079,0.587,95.335
396,19,1684407087128,6.816,0.293,99.108,0.101,146.412
397,4,1684408085756,6.502,1.999,30.089,0.532,87.247
398,16,1684408786783,7.478,1.605,32.108,0.311,105.541
399,15,1684409502334,7.59,0.527,42.384,0.661,188.942
400,13,1684411901586,6.669,0.6,17.739,1.127,70.555
402,9,1684413115184,7.679,2.865,96.605,0.114,154.708
403,4,1684413126919,6.177,2.105,28.976,0.725,85.968
404,19,1684414159807,6.114,0.491,21.645,0.508,65.565
405,17,1684414202327,6.746,0.889,48.341,0.414,123.345
406,16,1684416469558,11.14,0.628,22.789,0.395,255.584
407,11,1684416819917,6.328,0.474,137.29,0.124,195.06
408,9,1684418155513,7.098,1.409,16.869,0.889,70.578
409,4,1684418167845,6.479,1.389,36.116,0.526,101.184
410,13,1684418926150,6.36,0.472,16.837,1.069,72.249
411,8,1684419605095,6.57,0.457,19.0,1.263,77.16
412,13,1684419809886,6.58,0.456,34.539,0.058,203.338
413,17,1684420020126,6.913,0.868,31.613,1.044,90.276
414,15,1684420108569,6.818,1.32,18.909,1.005,72.752
415,11,1684422043836,6.547,0.458,27.525,0.472,71.89
416,17,1684422662579,11.817,0.169,29.118,0.653,90.421
417,15,1684422737338,7.507,1.732,20.404,1.323,89.436
418,4,1684423208665,7.379,1.491,34.126,0.059,85.82
419,16,1684426557526,6.957,2.012,49.685,0.242,162.726
420,15,1684427670666,7.407,1.215,49.437,0.182,160.424
421,17,1684427702905,6.6,0.909,19.136,1.411,74.969
422,7,1684428209878,17.387,1.323,21.92,2.144,236.597
423,10,1684428226043,6.467,1.392,46.377,0.194,109.295
424,4,1684428249878,7.063,1.416,21.067,1.994,70.215
425,11,1684429828860,7.323,0.41,27.034,0.481,86.053
426,16,1684431590619,12.635,1.425,31.765,0.756,94.908
427,15,1684431882070,6.825,1.319,100.097,0.25,195.433
428,16,1684434232798,8.715,2.41,17.931,1.115,74.956
429,8,1684434642157,6.183,0.647,17.932,1.283,60.719
430,16,1684437056557,9.513,2.418,19.308,1.916,74.305
434,5,1684471124291,6.904,1.448,25.386,1.024,89.202
435,2,1684484005879,6.682,0.748,19.311,0.932,68.036
436,7,1684487014598,11.288,1.86,28.021,0.5,267.653
437,11,1684487409463,6.598,0.303,50.63,0.336,108.66
438,19,1684488411752,6.501,0.308,20.261,0.691,71.892
440,4,1684489391990,6.032,1.824,22.968,1.219,67.44
441,11,1684490117984,6.187,0.97,27.599,1.015,79.34
442,7,1684490234353,8.771,2.508,31.123,0.964,87.694
443,4,1684494433451,6.696,1.344,29.213,0.548,77.675
444,13,1684494479432,34.098,0.205,163.391,0.129,287.714
445,9,1684494529481,6.903,1.449,49.007,0.102,104.475
446,11,1684495331954,6.429,0.467,60.106,0.449,112.97
447,7,1684495593026,8.853,1.807,42.723,0.328,124.912
448,20,1684495920883,32.766,0.153,18.669,1.178,109.071
449,11,1684498033543,7.297,0.685,134.17,0.149,192.632
450,4,1684499474744,6.358,2.045,22.661,1.015,67.704
451,13,1684502199979,6.108,0.491,28.481,0.913,94.416
452,11,1684503887108,6.654,0.751,28.176,0.71,82.109
453,4,1684504514771,6.097,1.476,17.228,1.567,62.67
454,9,1684504610073,7.177,1.393,15.81,0.253,76.928
455,13,1684504620214,7.419,1.213,60.303,0.481,117.649
456,8,1684511024348,6.37,0.314,32.24,0.713,94.276
458,17,1684512912141,6.443,0.466,20.171,1.983,56.265
459,10,1684514734322,6.427,0.934,65.912,0.561,137.738
460,11,1684534789209,8.616,0.232,21.905,0.639,80.75
462,4,1684541956602,6.251,1.92,28.436,0.352,75.762
463,11,1684543199484,6.537,0.306,70.645,0.411,119.868
464,9,1684543431080,8.263,1.21,28.434,0.211,167.515
465,4,1684546997742,7.191,2.086,16.761,1.134,66.642
466,11,1684548241376,6.469,0.464,27.558,1.016,90.469
468,2,1684556368206,6.62,0.906,40.972,0.732,91.02
471,4,1684557753909,6.223,2.25,28.184,0.319,71.242
472,19,1684559989148,6.838,0.439,21.87,0.457,69.357
473,4,1684562035954,6.383,1.567,34.482,0.406,94.683
474,19,1684565029619,8.052,0.373,32.705,0.397,102.99
475,6,1684565784150,8.836,1.811,18.176,1.761,429.408
476,2,1684566448583,6.274,0.797,20.312,1.231,147.263
477,4,1684567077467,6.296,2.065,58.002,0.034,111.962
478,6,1684569343216,8.159,2.451,21.74,2.116,262.349
479,4,1684572118044,28.122,0.462,59.704,0.486,126.684
480,17,1684579392652,6.368,0.942,28.672,0.314,73.713
481,17,1684582206214,6.011,0.499,31.752,0.976,79.305
482,6,1684582611407,8.239,2.427,32.572,1.044,211.85
483,7,1684583743298,28.015,0.607,42.685,0.047,114.904
484,7,1684586148836,11.625,1.72,20.682,2.224,257.258
485,15,1684587091026,6.938,1.297,37.239,0.322,89.187
486,17,1684587246579,6.457,0.929,47.62,0.966,87.036
487,14,1684587764819,7.856,0.891,12.951,2.471,65.325
489,17,1684592236363,6.348,0.315,17.266,1.622,63.15
490,7,1684594763027,34.198,0.673,22.197,1.622,102.734
491,15,1684595047140,6.921,1.3,55.237,0.272,347.046
492,8,1684596704833,42.068,0.238,22.874,1.836,104.501
495,15,1684600463691,6.241,1.442,66.265,0.377,176.491
496,15,1684603346676,7.104,1.267,24.416,1.065,129.451
497,8,1684606702709,7.746,1.678,37.204,1.451,90.585
498,18,1684609723752,7.004,0.857,7.978,0.627,80.373
499,4,1684628399571,5.998,1.501,21.315,1.079,77.038
500,4,1684633439648,6.44,2.019,30.351,0.725,85.489
501,11,1684634983078,6.285,0.477,89.587,0.335,163.591
502,1,1684638403664,6.173,0.972,37.768,0.106,243.206
503,4,1684638480708,6.424,2.179,15.251,0.59,59.198
504,5,1684639169371,7.127,1.403,25.881,1.661,84.517
506,4,1684643550428,6.0,1.167,41.168,0.024,84.863
507,5,1684644209892,7.53,0.797,20.053,1.546,89.126
508,11,1684647010276,6.287,0.477,27.934,1.002,88.761
510,4,1684648657173,6.201,2.096,28.192,0.071,74.777
512,11,1684649825400,6.446,0.31,24.884,1.246,72.877
513,19,1684651845830,6.042,0.331,22.76,0.439,66.107
514,4,1684653603956,6.235,2.085,63.244,0.079,103.358
515,7,1684654782084,7.935,2.016,19.61,1.632,83.596
516,10,1684654812026,11.047,1.086,94.583,0.116,237.965
517,19,1684656990461,6.468,0.928,22.67,0.353,139.314
518,7,1684657471529,7.47,2.142,30.702,0.651,82.912
520,10,1684659847529,7.404,1.08,52.828,0.398,121.931
521,15,1684660463273,6.844,0.877,19.63,1.121,84.533
522,13,1684662265733,8.761,0.571,21.48,0.931,80.981
524,15,1684665837784,6.851,1.314,21.366,1.03,84.165
525,17,1684665840883,6.204,0.967,44.093,0.59,86.115
526,7,1684667214326,27.622,0.543,24.511,1.51,146.922
527,8,1684668051317,8.5,1.882,20.827,2.593,74.206
528,15,1684668388494,26.124,0.345,40.368,0.644,175.891
529,7,1684669856412,29.598,0.507,36.045,1.221,102.232
530,15,1684671119261,7.209,1.526,26.598,0.526,147.114
531,7,1684672505880,6.402,0.937,20.888,2.25,65.724
532,15,1684673879475,6.905,1.303,17.761,0.845,99.401
533,7,1684675446678,7.494,1.201,35.955,0.89,196.885
534,15,1684676575175,9.221,0.976,19.755,1.417,119.1
536,15,1684680171676,6.801,1.323,63.707,0.549,139.751
537,15,1684682360396,7.438,1.21,37.647,1.089,130.93
541,15,1684687263863,6.99,1.288,17.544,0.798,160.185
542,7,1684688170812,9.158,1.856,30.577,0.883,125.185
544,2,1684723442724,6.283,0.318,23.843,0.839,79.225
545,2,1684726083537,6.08,0.329,80.108,0.325,120.937
546,20,1684740955178,7.202,1.25,32.059,0.468,90.281
547,7,1684744398210,27.752,0.541,35.203,0.795,121.787
548,11,1684745341520,4.039,3.219,24.895,1.125,71.752
549,20,1684746096716,8.656,0.924,18.248,0.986,86.319
550,11,1684747430720,6.011,0.333,56.947,0.562,105.186
551,11,1684748060193,6.146,0.488,22.647,1.016,72.333
552,4,1684748646519,6.409,2.028,27.0,0.519,68.697
553,20,1684748823623,7.599,0.921,18.534,1.133,86.845
554,19,1684749115673,49.658,0.04,20.789,0.481,109.768
555,11,1684750580721,6.486,0.308,99.306,0.312,151.713
556,19,1684751803186,5.867,0.341,24.824,0.443,120.591
557,4,1684753740179,6.184,0.97,40.446,0.47,81.277
558,15,1684757446845,59.844,0.084,13.117,0.61,179.855
560,15,1684760443766,6.789,1.326,23.191,0.431,125.433
561,11,1684762348247,6.785,0.295,32.173,1.026,79.233
562,15,1684762808924,74.738,0.054,36.263,0.441,242.97
563,10,1684763625396,7.263,0.964,38.361,0.834,230.472
564,4,1684763738014,6.131,1.468,27.403,0.547,75.33
565,8,1684765297963,7.414,1.079,17.988,1.89,125.865
566,15,1684765466897,7.956,1.131,20.111,1.392,136.313
567,14,1684765871611,7.677,1.433,9.941,2.314,117.476
568,3,1684767193880,8.008,1.748,27.804,0.827,93.929
569,7,1684767256660,7.086,1.27,19.424,1.802,73.583
570,15,1684768167212,6.924,1.3,22.401,1.25,98.453
571,10,1684768665609,6.475,0.927,9.005,1.777,58.176
572,4,1684768778897,5.987,1.67,42.676,0.117,85.431
575,15,1684770820721,9.799,0.918,134.029,0.075,284.29
576,3,1684771440535,79.278,0.101,27.419,0.729,258.834
577,17,1684772402958,6.239,0.962,56.153,0.392,103.668
578,20,1684827834932,8.448,1.302,59.384,0.185,136.897
579,4,1684831238360,6.93,1.876,61.827,0.534,115.498
580,4,1684836025233,6.428,2.022,32.743,0.458,88.914
581,15,1684836655973,34.255,0.292,22.724,0.528,181.921
582,4,1684841065677,7.386,2.031,17.551,1.652,86.154
583,15,1684841493322,7.703,1.168,25.755,0.466,110.042
584,11,1684845566453,7.81,0.896,70.354,0.242,152.477
585,15,1684846586155,7.078,1.272,25.043,0.399,225.314
586,13,1684848950410,6.05,0.496,31.402,0.191,88.715
587,11,1684849718542,6.364,0.629,76.786,0.26,129.193
588,4,1684851199258,6.402,1.406,24.812,0.363,74.597
589,15,1684851627026,6.596,1.364,18.574,1.723,114.134
590,11,1684852676764,6.298,0.794,19.538,1.535,81.776
591,13,1684854042854,9.317,1.073,24.954,0.842,84.306
593,11,1684855462808,9.33,0.214,24.594,1.138,73.056
594,4,1684856238870,6.111,1.636,24.639,0.487,68.67
596,15,1684856667507,6.656,1.352,17.18,0.524,147.771
597,3,1684856910837,8.811,1.021,17.705,1.186,82.5
598,10,1684860347227,6.579,0.912,24.27,1.442,77.671
599,1,1684860487198,6.813,0.881,25.279,0.396,78.469
603,8,1684871879079,7.42,0.539,29.33,0.955,86.429
604,20,1684901110412,7.148,1.119,65.937,0.121,134.928
605,3,1684914720082,6.203,1.29,17.899,0.838,83.352
607,20,1684918977054,6.202,1.129,75.435,0.04,134.278
608,1,1684920000410,7.031,1.138,21.484,0.884,68.279
609,3,1684920756665,8.383,1.431,75.598,0.053,241.459
610,4,1684921401402,6.612,2.269,27.018,0.444,81.962
611,20,1684924012383,6.304,1.11,16.551,1.208,70.212
613,4,1684926678692,7.001,1.857,16.914,1.419,64.14
615,20,1684929157442,6.15,1.463,25.993,1.539,122.042
616,11,1684930108958,7.164,0.279,82.246,0.316,127.32
617,13,1684931496838,6.723,1.19,108.676,0.23,290.728
618,4,1684931535692,6.274,2.072,16.532,1.573,59.676
619,16,1684932203715,8.852,1.356,21.545,1.207,240.717
620,15,1684932736051,6.567,0.914,26.189,1.107,102.52
621,11,1684932756971,6.196,0.323,20.909,1.626,82.851
622,19,1684932960198,6.305,0.317,24.834,0.443,71.686
623,19,1684935658972,9.077,0.331,20.772,0.77,70.275
624,3,1684935863510,6.388,1.252,23.461,0.597,105.2
625,13,1684936537332,5.964,0.503,18.137,1.213,78.796
626,4,1684936576369,7.249,2.897,9.362,2.35,52.911
627,11,1684937471536,5.979,0.836,70.464,0.369,110.298
628,15,1684937776772,6.824,1.319,46.832,0.641,174.809
631,11,1684938364832,6.365,0.786,21.63,1.433,66.376
632,3,1684938514575,7.575,1.188,32.097,0.28,92.147
633,11,1684940671922,6.643,0.753,20.452,1.027,63.454
634,4,1684941617995,6.406,1.717,18.282,2.461,59.138
636,15,1684942817118,6.574,1.369,18.185,0.55,141.552
637,12,1684943005110,7.776,1.029,73.424,0.286,155.464
639,11,1684943405790,6.21,0.483,54.795,0.328,109.958
640,3,1684946249285,6.641,1.355,16.557,0.604,77.83
641,4,1684946658645,6.116,1.472,17.145,2.216,62.629
642,10,1684946680541,6.096,0.492,32.376,0.741,130.437
643,15,1684947857641,6.879,0.727,27.567,1.052,90.175
645,12,1684953086136,8.309,0.722,36.297,0.165,171.82
647,12,1684963168294,7.723,0.777,20.359,0.639,161.766
648,2,1684977605549,6.676,0.3,32.065,0.717,102.012
650,2,1684982646090,6.652,0.301,16.894,0.77,68.783
652,5,1684989458485,8.024,0.748,17.48,1.43,93.895
653,20,1684989733557,6.796,0.589,30.239,0.496,139.054
655,20,1684994786721,8.69,0.921,38.007,0.368,112.127
657,20,1684999971880,6.234,1.444,29.498,1.797,84.799
658,4,1685002760803,6.304,1.586,15.829,1.264,59.687
659,17,1685005669622,6.6,0.455,38.326,0.496,91.168
660,11,1685006346158,6.28,0.318,18.665,1.393,70.897
661,19,1685007100219,6.137,0.326,23.116,0.433,162.53
662,4,1685007801279,6.507,2.305,25.672,0.623,67.458
663,17,1685008581212,7.844,0.382,52.71,0.474,107.867
664,19,1685009788728,5.996,0.334,23.701,0.549,173.199
666,11,1685011386425,6.356,0.315,54.997,0.618,98.91
667,4,1685012842039,6.777,2.213,46.458,0.624,92.092
668,9,1685012917096,8.012,2.621,18.691,1.338,67.352
669,11,1685016427101,6.335,0.474,60.039,0.916,117.567
670,15,1685016512932,7.026,0.569,21.643,0.693,127.184
671,4,1685017882776,6.14,1.466,26.548,0.603,68.902
672,10,1685017902030,6.507,1.383,25.742,0.622,92.543
673,9,1685017948194,7.737,1.809,16.462,0.729,67.74
674,19,1685018862283,6.252,0.32,45.856,0.196,107.109
675,11,1685019321835,6.361,0.472,17.339,1.5,74.913
676,15,1685021479401,7.75,1.161,19.453,1.439,96.821
677,1,1685021548517,7.126,1.123,21.98,0.682,67.978
678,11,1685022871795,6.349,0.473,56.219,0.534,101.924
679,4,1685022922855,6.367,2.356,71.575,0.126,113.188
680,13,1685022933437,5.915,0.338,18.592,2.098,72.356
681,10,1685022994771,6.066,1.484,20.625,2.376,68.05
682,9,1685023040310,9.21,1.737,26.959,0.556,162.269
684,11,1685025527443,6.43,0.467,52.441,0.572,101.875
685,15,1685026519977,6.944,1.296,17.439,1.376,224.724
686,1,1685026590032,7.432,0.807,20.588,0.437,101.368
687,4,1685027963376,6.24,1.282,40.874,0.685,88.755
688,13,1685027974694,6.786,0.884,35.628,0.477,233.067
689,10,1685028035800,6.428,1.245,28.987,0.828,73.072
690,9,1685028080639,6.828,1.465,15.975,0.939,68.675
691,11,1685028207959,6.666,0.45,18.217,1.153,66.096
692,8,1685029433686,8.172,1.468,19.786,2.022,70.342
693,3,1685030592238,6.23,1.284,31.53,0.412,100.088
694,11,1685031036847,6.284,0.477,160.457,0.1,277.25
695,17,1685031505117,7.886,0.761,17.6,1.477,85.896
696,15,1685031560537,10.12,0.889,18.917,0.793,259.319
698,4,1685033004574,6.811,1.468,17.941,2.007,71.162
699,11,1685033683654,6.612,0.454,17.909,1.005,99.197
700,8,1685034473833,8.867,0.451,26.602,1.053,100.289
701,17,1685036545640,5.994,0.501,25.907,0.695,68.829
703,15,1685036732070,6.608,1.362,27.157,0.81,114.905
704,8,1685039514234,7.25,0.552,38.632,0.129,104.228
707,20,1685079077298,6.301,0.794,27.602,3.587,183.347
708,4,1685089166095,6.261,1.597,15.78,1.204,62.466
709,2,1685092176988,7.147,0.28,48.345,0.393,105.217
710,4,1685094207057,15.235,0.131,18.348,1.853,79.952
711,9,1685099243008,24.051,0.873,20.584,0.486,99.778
713,13,1685099352484,6.333,0.474,16.865,0.83,73.844
714,4,1685099411642,6.184,1.455,17.259,1.796,58.047
715,19,1685100030552,5.865,0.341,9.616,1.248,90.354
716,11,1685100521294,6.059,0.33,18.256,1.096,80.356
717,15,1685100548601,7.743,1.033,27.312,0.915,164.48
718,11,1685102605705,6.475,0.463,16.444,1.277,60.686
719,11,1685103144875,6.022,0.498,305.517,0.043,358.807
720,19,1685103406599,16.714,0.12,32.619,0.46,84.716
721,9,1685104284078,7.143,1.4,32.7,0.306,80.904
722,4,1685104289476,6.342,2.365,14.832,1.214,70.408
723,12,1685104826931,10.054,0.995,30.629,0.522,95.588
724,15,1685105641685,8.432,2.016,45.636,0.373,170.913
725,11,1685106107965,7.325,1.229,22.339,0.716,77.995
726,7,1685107924086,7.697,2.209,21.882,2.742,76.056
727,1,1685107945369,30.255,0.165,23.479,0.17,97.877
728,11,1685108753887,6.716,0.893,104.291,0.201,154.374
729,9,1685109322990,7.054,1.418,23.995,0.5,75.422
730,4,1685109330442,6.137,1.467,15.958,1.253,69.509
731,10,1685109389263,6.366,1.414,17.69,1.187,84.048
732,12,1685109867666,7.655,1.176,29.914,2.139,91.501
733,17,1685110581792,6.772,0.886,38.95,0.462,105.334
735,8,1685110787989,7.046,0.426,20.71,0.724,90.484
736,11,1685110932309,5.949,0.504,34.374,0.407,80.783
737,11,1685111148439,6.405,0.468,27.022,0.888,76.094
738,7,1685112965374,7.371,1.221,33.828,0.384,84.289
739,1,1685113037787,8.889,0.675,20.943,1.003,71.654
740,11,1685114225487,5.84,0.342,16.312,0.981,58.455
741,10,1685114482348,6.371,1.413,28.078,0.499,78.229
743,18,1685115549233,7.699,1.689,8.585,1.165,69.161
744,8,1685115932412,6.996,0.286,18.787,2.076,59.919
745,7,1685118006153,8.324,0.721,36.59,1.011,227.16
746,10,1685119523313,6.034,1.492,18.511,2.107,73.842
747,15,1685120815348,8.964,1.004,17.824,1.571,130.752
749,18,1685125629794,8.496,1.412,16.194,1.112,236.346
750,8,1685126065300,6.808,1.175,21.813,1.238,98.982
751,18,1685130670270,8.963,0.669,13.449,0.669,120.322
752,4,1685146772875,6.586,1.67,32.223,0.683,79.873
753,9,1685148204412,6.987,1.431,16.769,1.133,63.618
754,1,1685151768134,7.415,0.809,24.52,0.122,65.62
755,4,1685151864683,6.491,2.157,36.965,0.054,88.449
756,9,1685153297330,9.7,2.371,48.102,0.312,109.483
757,11,1685154409480,6.344,0.631,82.61,0.194,134.516
758,1,1685156808750,7.472,0.669,22.513,0.933,70.507
759,4,1685156905716,6.48,2.006,25.869,0.425,69.074
760,11,1685157334243,6.669,0.45,24.918,0.763,157.679
762,11,1685157892035,6.612,0.454,22.934,0.785,94.652
764,11,1685161065156,6.184,0.97,26.645,0.6,69.536
765,1,1685161900346,6.492,0.77,22.196,0.18,67.386
766,4,1685161946511,6.691,1.943,73.157,0.027,148.45
