,uid,startTime,prior_context(sec),prior_context_speech_rate,dixit(sec),dixit_speech_rate,whole_conv_length(sec)
1020,9,1685541364840,7.541,2.785,15.865,0.945,89.137
1021,11,1685541391240,6.579,0.304,19.371,1.084,88.247
1022,4,1685542597909,6.96,2.155,24.866,0.08,68.955
1024,15,1685542740583,6.216,0.804,33.236,0.241,73.243
1026,11,1685544191045,6.736,0.891,16.455,0.972,70.241
1028,3,1685544718160,6.325,1.581,26.424,0.265,99.446
1029,12,1685544989736,6.677,1.048,27.254,0.183,88.848
1030,4,1685546172837,6.394,2.033,39.741,0.05,82.83
1031,9,1685546457588,7.104,1.971,18.819,1.01,71.477
1033,11,1685546912779,7.481,0.668,17.032,1.057,76.587
1034,15,1685547667601,6.619,0.755,29.021,0.793,88.504
1035,4,1685548826205,7.616,2.101,32.093,0.062,91.996
1036,6,1685550713392,8.056,2.483,21.144,2.601,88.898
1037,9,1685551497868,7.419,1.887,15.79,0.95,63.347
1039,15,1685552760296,7.203,1.111,17.888,0.727,134.504
1040,8,1685552930795,7.105,1.407,16.97,1.179,91.34
1041,18,1685562297950,9.15,1.421,17.208,1.162,85.01
1042,8,1685563011143,16.182,0.247,17.609,1.079,95.278
1044,18,1685572378994,6.207,1.289,9.697,1.753,111.887
1047,7,1685607726766,7.441,2.15,29.888,0.535,115.275
1048,4,1685610209677,6.222,1.607,16.282,1.474,60.339
1050,4,1685612905371,6.26,1.438,15.054,1.528,66.701
1056,4,1685618565650,19.26,0.675,15.827,1.327,76.933
1058,4,1685621263772,6.746,1.927,37.602,0.053,96.066
1059,15,1685622693701,8.297,0.482,16.697,0.838,95.357
1060,19,1685622835318,7.291,0.274,25.509,0.51,243.383
1062,4,1685624983364,6.197,1.452,25.373,0.631,70.636
1063,15,1685625487603,23.71,0.169,17.165,1.165,90.893
1064,12,1685625626155,7.209,1.526,58.009,0.345,112.491
1065,1,1685626328477,7.801,0.769,32.892,0.547,82.678
1068,13,1685627759075,6.462,0.464,26.155,0.421,128.632
1069,15,1685628248498,11.874,1.095,64.332,0.42,171.018
1071,4,1685629377650,6.306,1.427,34.265,0.058,84.025
1073,11,1685629643888,6.198,0.645,17.984,0.667,72.344
1074,7,1685630359719,7.581,1.715,31.131,0.482,234.23
1075,15,1685630931036,6.728,1.189,16.847,0.89,62.516
1076,4,1685632026094,6.936,1.874,33.284,0.06,90.919
1078,11,1685632588767,6.238,1.603,17.118,0.818,62.154
1079,10,1685632779825,7.809,1.921,30.243,0.463,81.799
1080,19,1685632915694,7.402,0.675,22.043,0.454,70.851
1081,15,1685633815559,7.85,1.146,16.939,0.59,116.758
1082,4,1685634677501,6.189,1.939,15.759,1.523,75.582
1084,11,1685635332031,7.534,1.327,21.318,0.938,76.787
1085,3,1685635988142,6.008,0.999,14.972,0.401,74.008
1086,11,1685636198789,6.086,0.493,7.609,1.183,41.039
1087,15,1685636698878,11.04,1.178,17.788,1.405,92.455
1089,10,1685637819807,6.944,2.448,19.173,2.504,69.178
1090,8,1685639272481,7.657,1.045,20.569,0.972,79.526
1091,15,1685639341181,7.486,1.336,25.061,0.479,85.134
1092,6,1685640001981,9.937,2.013,33.895,1.062,87.235
1093,12,1685640747809,6.545,0.917,94.965,0.126,200.438
1094,6,1685644361130,7.595,2.37,28.376,0.74,116.46
1095,6,1685649402831,8.451,2.248,30.745,1.301,82.757
1097,3,1685692678097,7.174,1.255,15.427,0.259,79.355
1098,11,1685696498230,6.155,0.975,38.641,0.362,108.812
1099,4,1685697113427,6.249,1.6,40.846,0.049,87.731
1100,13,1685699017461,6.765,1.478,17.737,0.395,73.615
1101,11,1685699144840,6.149,0.325,15.68,1.084,83.474
1102,10,1685700213474,7.743,1.291,29.16,0.926,91.794
