uid,startTime,bluSensor_dB_mean,bluSensor_Temperature_mean,bluSensor_Humidity_mean,bluSensor_CO2_mean,bluSensor_TVOC_mean,bluSensor_Light_mean,bluSensor_Human_mean,bluSensor_dB_stddev,bluSensor_Temperature_stddev,bluSensor_Humidity_stddev,bluSensor_CO2_stddev,bluSensor_TVOC_stddev,bluSensor_Light_stddev,bluSensor_Human_stddev
8.0,1686421012028.0,66.05289582237758,24.814371523915447,35.25560622914344,4193.695216907675,8887.095661846495,0.0,0.0,6.139383794426306,0.04951119545632418,0.2666962449831475,175.48231495305242,392.561378987951,0.0,0.0
8.0,1685034473833.0,51.000583200529604,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.0,11.27341529410791,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1684683172150.0,45.516128292676065,24.429433333333375,49.75026666666671,2776.742222222222,15600.696666666667,0.0,0.0,4.4463779834420425,0.09803413062561227,0.6097881030239477,283.089298330609,2065.200363896128,0.0,0.0
8.0,1685897610283.0,52.105297397193965,24.55956666666669,35.86878888888887,22832.178888888888,37297.03,0.0,0.0,7.042929055987029,0.1926096498020939,0.4200561166611835,2628.818035726288,4368.599580399985,0.0,0.0
8.0,1685287979093.0,67.04212577179956,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.0,9.985599746518819,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1684078309879.0,54.131208322425124,24.557777777777712,38.70874444444444,2952.73,16852.928888888888,0.0,0.0,8.78765672635061,0.07669592064915802,0.7014127498349029,664.3792484348337,4056.453418907358,0.0,0.0
8.0,1685121024869.0,69.54836662860615,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.023333333333333334,5.594702840807298,0.0,0.0,0.0,0.0,0.0,0.15104382821641257
8.0,1686152631418.0,60.83309834274723,25.443199999999845,36.843866666666635,8811.145555555555,20878.321111111112,0.0,0.0,7.515257796220344,0.10614586894927419,0.3187931636678036,162.3718453577296,551.6557967882085,0.0,0.0
8.0,1685211672676.0,61.13590462288565,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.0,9.126966694133069,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1685115932412.0,55.469074275497746,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.0,10.463236533505583,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1684063189511.0,49.33970954174559,27.21957777777786,35.14812222222223,1536.401111111111,5372.495555555555,0.0,0.0,9.194727607238638,0.14764461267667875,0.28095365674153205,199.40773874752554,1299.521348941209,0.0,0.0
8.0,1684175431696.0,68.70056091740476,24.278955555555548,47.5133666666667,1054.2255555555555,3781.8566666666666,0.0,0.0,5.517498263939315,0.1967585439252588,0.5517462409018137,219.98878829814888,1062.93731509845,0.0,0.0
8.0,1684251725622.0,47.55949540720322,27.17741111111101,38.897277777777745,4246.652222222222,31269.736666666668,0.0,0.0,5.700577575276829,0.06847186189928452,0.19575537660566472,95.23126902532276,1262.2184905545007,0.0,0.0
8.0,1684866838211.0,60.86106469865731,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.035555555555555556,5.933120828540394,0.0,0.0,0.0,0.0,0.0,0.18528222234124037
8.0,1684165432544.0,49.796249794380095,26.243899999999975,42.45218888888892,1714.2955555555557,7072.634444444445,0.0,0.0,9.348525286285957,0.10644529947234298,0.3051460524663672,241.6602736397559,1450.2347915971598,0.0,0.0
8.0,1685039514234.0,42.4650730236767,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.0,3.768534658064586,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1684765297963.0,45.02657204464031,26.51981111111108,45.37311111111106,16969.55888888889,55970.56444444445,0.0,0.0,10.435770995230238,0.07313166306989921,0.5464868981032983,4569.152510591962,10512.479381615993,0.0,0.0
8.0,1685456396085.0,71.29391831941159,25.91999999999953,39.68000000000024,663.0,1062.0,0.0,0.0,5.276181958501858,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1685201487113.0,45.499738716981916,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.18222222222222223,3.6702827906868207,0.0,0.0,0.0,0.0,0.0,0.3862422075423122
8.0,1685024393130.0,48.67685381619258,25.919999999999526,39.68000000000024,663.0,1062.0,0.0,0.0,10.346480539092843,0.0,0.0,0.0,0.0,0.0,0.0
